"minbound",shape,"unit"
-40,16,10
-120,15,10
0,5,10

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0.545455
0,2,2,0.545455
0,2,3,0.545455
0,2,4,0
0,3,0,0
0,3,1,0.454545
0,3,2,0.5
0,3,3,0.454545
0,3,4,0
0,4,0,0
0,4,1,0.409091
0,4,2,0.454545
0,4,3,0.409091
0,4,4,0
0,5,0,0
0,5,1,0.363636
0,5,2,0.409091
0,5,3,0.363636
0,5,4,0
0,6,0,0
0,6,1,0.318182
0,6,2,0.363636
0,6,3,0.318182
0,6,4,0
0,7,0,0
0,7,1,0.272727
0,7,2,0.318182
0,7,3,0.272727
0,7,4,0
0,8,0,0
0,8,1,0.227273
0,8,2,0.272727
0,8,3,0.227273
0,8,4,0
0,9,0,0
0,9,1,0.181818
0,9,2,0.227273
0,9,3,0.181818
0,9,4,0
0,10,0,0
0,10,1,0.136364
0,10,2,0.181818
0,10,3,0.136364
0,10,4,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,1,0,0
1,1,1,0.5
1,1,2,0.545455
1,1,3,0.5
1,1,4,0
1,2,0,0.5
1,2,1,0.545455
1,2,2,0.590909
1,2,3,0.545455
1,2,4,0.5
1,3,0,0.454545
1,3,1,0.5
1,3,2,0.545455
1,3,3,0.5
1,3,4,0.454545
1,4,0,0.409091
1,4,1,0.454545
1,4,2,0.5
1,4,3,0.454545
1,4,4,0.409091
1,5,0,0.363636
1,5,1,0.409091
1,5,2,0.454545
1,5,3,0.409091
1,5,4,0.363636
1,6,0,0.318182
1,6,1,0.363636
1,6,2,0.409091
1,6,3,0.363636
1,6,4,0.318182
1,7,0,0.272727
1,7,1,0.318182
1,7,2,0.363636
1,7,3,0.318182
1,7,4,0.272727
1,8,0,0.227273
1,8,1,0.272727
1,8,2,0.318182
1,8,3,0.272727
1,8,4,0.227273
1,9,0,0.181818
1,9,1,0.227273
1,9,2,0.272727
1,9,3,0.227273
1,9,4,0.181818
1,10,0,0.136364
1,10,1,0.181818
1,10,2,0.227273
1,10,3,0.181818
1,10,4,0.136364
1,11,0,0
1,11,1,0.136364
1,11,2,0.181818
1,11,3,0.136364
1,11,4,0
1,12,0,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,13,0,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,14,0,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,1,0,0
2,1,1,0.545455
2,1,2,0.590909
2,1,3,0.545455
2,1,4,0
2,2,0,0.545455
2,2,1,0.590909
2,2,2,0.636364
2,2,3,0.590909
2,2,4,0.545455
2,3,0,0.5
2,3,1,0.545455
2,3,2,0.590909
2,3,3,0.545455
2,3,4,0.5
2,4,0,0.454545
2,4,1,0.5
2,4,2,0.545455
2,4,3,0.5
2,4,4,0.454545
2,5,0,0.409091
2,5,1,0.454545
2,5,2,0.5
2,5,3,0.454545
2,5,4,0.409091
2,6,0,0.363636
2,6,1,0.409091
2,6,2,0.454545
2,6,3,0.409091
2,6,4,0.363636
2,7,0,0.318182
2,7,1,0.363636
2,7,2,0.409091
2,7,3,0.363636
2,7,4,0.318182
2,8,0,0.272727
2,8,1,0.318182
2,8,2,0.363636
2,8,3,0.318182
2,8,4,0.272727
2,9,0,0.227273
2,9,1,0.272727
2,9,2,0.318182
2,9,3,0.272727
2,9,4,0.227273
2,10,0,0.181818
2,10,1,0.227273
2,10,2,0.272727
2,10,3,0.227273
2,10,4,0.181818
2,11,0,0
2,11,1,0.181818
2,11,2,0.227273
2,11,3,0.181818
2,11,4,0
2,12,0,0
2,12,1,0
2,12,2,0
2,12,3,0
2,12,4,0
2,13,0,0
2,13,1,0
2,13,2,0
2,13,3,0
2,13,4,0
2,14,0,0
2,14,1,0
2,14,2,0
2,14,3,0
2,14,4,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,1,0,0
3,1,1,0.590909
3,1,2,0.636364
3,1,3,0.590909
3,1,4,0
3,2,0,0.590909
3,2,1,0.636364
3,2,2,0.681818
3,2,3,0.636364
3,2,4,0.590909
3,3,0,0.545455
3,3,1,0.590909
3,3,2,0.636364
3,3,3,0.590909
3,3,4,0.545455
3,4,0,0.5
3,4,1,0.545455
3,4,2,0.590909
3,4,3,0.545455
3,4,4,0.5
3,5,0,0.454545
3,5,1,0.5
3,5,2,0.545455
3,5,3,0.5
3,5,4,0.454545
3,6,0,0.409091
3,6,1,0.454545
3,6,2,0.5
3,6,3,0.454545
3,6,4,0.409091
3,7,0,0.363636
3,7,1,0.409091
3,7,2,0.454545
3,7,3,0.409091
3,7,4,0.363636
3,8,0,0.318182
3,8,1,0.363636
3,8,2,0.409091
3,8,3,0.363636
3,8,4,0.318182
3,9,0,0.272727
3,9,1,0.318182
3,9,2,0.363636
3,9,3,0.318182
3,9,4,0.272727
3,10,0,0.227273
3,10,1,0.272727
3,10,2,0.318182
3,10,3,0.272727
3,10,4,0.227273
3,11,0,0
3,11,1,0.227273
3,11,2,0.272727
3,11,3,0.227273
3,11,4,0
3,12,0,0
3,12,1,0
3,12,2,0
3,12,3,0
3,12,4,0
3,13,0,0
3,13,1,0
3,13,2,0
3,13,3,0
3,13,4,0
3,14,0,0
3,14,1,0
3,14,2,0
3,14,3,0
3,14,4,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,1,0,0
4,1,1,0.636364
4,1,2,0.681818
4,1,3,0.636364
4,1,4,0
4,2,0,0.636364
4,2,1,0.681818
4,2,2,0.727273
4,2,3,0.681818
4,2,4,0.636364
4,3,0,0.590909
4,3,1,0.636364
4,3,2,0.681818
4,3,3,0.636364
4,3,4,0.590909
4,4,0,0.545455
4,4,1,0.590909
4,4,2,0.636364
4,4,3,0.590909
4,4,4,0.545455
4,5,0,0.5
4,5,1,0.545455
4,5,2,0.590909
4,5,3,0.545455
4,5,4,0.5
4,6,0,0.454545
4,6,1,0.5
4,6,2,0.545455
4,6,3,0.5
4,6,4,0.454545
4,7,0,0.409091
4,7,1,0.454545
4,7,2,0.5
4,7,3,0.454545
4,7,4,0.409091
4,8,0,0.363636
4,8,1,0.409091
4,8,2,0.454545
4,8,3,0.409091
4,8,4,0.363636
4,9,0,0.318182
4,9,1,0.363636
4,9,2,0.409091
4,9,3,0.363636
4,9,4,0.318182
4,10,0,0.272727
4,10,1,0.318182
4,10,2,0.363636
4,10,3,0.318182
4,10,4,0.272727
4,11,0,0
4,11,1,0.272727
4,11,2,0.318182
4,11,3,0.272727
4,11,4,0
4,12,0,0
4,12,1,0
4,12,2,0
4,12,3,0
4,12,4,0
4,13,0,0
4,13,1,0
4,13,2,0
4,13,3,0
4,13,4,0
4,14,0,0
4,14,1,0
4,14,2,0
4,14,3,0
4,14,4,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,1,0,0
5,1,1,0.681818
5,1,2,0.727273
5,1,3,0.681818
5,1,4,0
5,2,0,0.681818
5,2,1,0.727273
5,2,2,0.772727
5,2,3,0.727273
5,2,4,0.681818
5,3,0,0.636364
5,3,1,0.681818
5,3,2,0.727273
5,3,3,0.681818
5,3,4,0.636364
5,4,0,0.590909
5,4,1,0.636364
5,4,2,0.681818
5,4,3,0.636364
5,4,4,0.590909
5,5,0,0.545455
5,5,1,0.590909
5,5,2,0.636364
5,5,3,0.590909
5,5,4,0.545455
5,6,0,0.5
5,6,1,0.545455
5,6,2,0.590909
5,6,3,0.545455
5,6,4,0.5
5,7,0,0.454545
5,7,1,0.5
5,7,2,0.545455
5,7,3,0.5
5,7,4,0.454545
5,8,0,0.409091
5,8,1,0.454545
5,8,2,0.5
5,8,3,0.454545
5,8,4,0.409091
5,9,0,0.363636
5,9,1,0.409091
5,9,2,0.454545
5,9,3,0.409091
5,9,4,0.363636
5,10,0,0.318182
5,10,1,0.363636
5,10,2,0.409091
5,10,3,0.363636
5,10,4,0.318182
5,11,0,0
5,11,1,0.318182
5,11,2,0.363636
5,11,3,0.318182
5,11,4,0
5,12,0,0
5,12,1,0.272727
5,12,2,0.318182
5,12,3,0.272727
5,12,4,0
5,13,0,0
5,13,1,0.227273
5,13,2,0.272727
5,13,3,0.227273
5,13,4,0
5,14,0,0
5,14,1,0.181818
5,14,2,0.227273
5,14,3,0.181818
5,14,4,0
6,0,0,0
6,0,1,0
6,0,2,0
6,0,3,0
6,0,4,0
6,1,0,0
6,1,1,0.727273
6,1,2,0.772727
6,1,3,0.727273
6,1,4,0
6,2,0,0.727273
6,2,1,0.772727
6,2,2,0.818182
6,2,3,0.772727
6,2,4,0.727273
6,3,0,0.681818
6,3,1,0.727273
6,3,2,0.772727
6,3,3,0.727273
6,3,4,0.681818
6,4,0,0.636364
6,4,1,0.681818
6,4,2,0.727273
6,4,3,0.681818
6,4,4,0.636364
6,5,0,0.590909
6,5,1,0.636364
6,5,2,0.681818
6,5,3,0.636364
6,5,4,0.590909
6,6,0,0.545455
6,6,1,0.590909
6,6,2,0.636364
6,6,3,0.590909
6,6,4,0.545455
6,7,0,0.5
6,7,1,0.545455
6,7,2,0.590909
6,7,3,0.545455
6,7,4,0.5
6,8,0,0.454545
6,8,1,0.5
6,8,2,0.545455
6,8,3,0.5
6,8,4,0.454545
6,9,0,0.409091
6,9,1,0.454545
6,9,2,0.5
6,9,3,0.454545
6,9,4,0.409091
6,10,0,0.363636
6,10,1,0.409091
6,10,2,0.454545
6,10,3,0.409091
6,10,4,0.363636
6,11,0,0.318182
6,11,1,0.363636
6,11,2,0.409091
6,11,3,0.363636
6,11,4,0.318182
6,12,0,0.272727
6,12,1,0.318182
6,12,2,0.363636
6,12,3,0.318182
6,12,4,0.272727
6,13,0,0.227273
6,13,1,0.272727
6,13,2,0.318182
6,13,3,0.272727
6,13,4,0.227273
6,14,0,0.181818
6,14,1,0.227273
6,14,2,0.272727
6,14,3,0.227273
6,14,4,0.181818
7,0,0,0
7,0,1,0
7,0,2,0
7,0,3,0
7,0,4,0
7,1,0,0
7,1,1,0.863636
7,1,2,0.909091
7,1,3,0.863636
7,1,4,0
7,2,0,0.772727
7,2,1,0.818182
7,2,2,0.863636
7,2,3,0.818182
7,2,4,0.772727
7,3,0,0.727273
7,3,1,0.772727
7,3,2,0.818182
7,3,3,0.772727
7,3,4,0.727273
7,4,0,0.681818
7,4,1,0.727273
7,4,2,0.772727
7,4,3,0.727273
7,4,4,0.681818
7,5,0,0.636364
7,5,1,0.681818
7,5,2,0.727273
7,5,3,0.681818
7,5,4,0.636364
7,6,0,0.590909
7,6,1,0.636364
7,6,2,0.681818
7,6,3,0.636364
7,6,4,0.590909
7,7,0,0.545455
7,7,1,0.590909
7,7,2,0.636364
7,7,3,0.590909
7,7,4,0.545455
7,8,0,0.5
7,8,1,0.545455
7,8,2,0.590909
7,8,3,0.545455
7,8,4,0.5
7,9,0,0.454545
7,9,1,0.5
7,9,2,0.545455
7,9,3,0.5
7,9,4,0.454545
7,10,0,0.409091
7,10,1,0.454545
7,10,2,0.5
7,10,3,0.454545
7,10,4,0.409091
7,11,0,0.363636
7,11,1,0.409091
7,11,2,0.454545
7,11,3,0.409091
7,11,4,0.363636
7,12,0,0.318182
7,12,1,0.363636
7,12,2,0.409091
7,12,3,0.363636
7,12,4,0.318182
7,13,0,0.272727
7,13,1,0.318182
7,13,2,0.363636
7,13,3,0.318182
7,13,4,0.272727
7,14,0,0.227273
7,14,1,0.272727
7,14,2,0.318182
7,14,3,0.272727
7,14,4,0.227273
8,0,0,0
8,0,1,0.863636
8,0,2,0.909091
8,0,3,0.863636
8,0,4,0
8,1,0,0.863636
8,1,1,0.909091
8,1,2,0.954545
8,1,3,0.909091
8,1,4,0.863636
8,2,0,0.818182
8,2,1,0.863636
8,2,2,0.909091
8,2,3,0.863636
8,2,4,0.818182
8,3,0,0.772727
8,3,1,0.818182
8,3,2,0.863636
8,3,3,0.818182
8,3,4,0.772727
8,4,0,0.727273
8,4,1,0.772727
8,4,2,0.818182
8,4,3,0.772727
8,4,4,0.727273
8,5,0,0.681818
8,5,1,0.727273
8,5,2,0.772727
8,5,3,0.727273
8,5,4,0.681818
8,6,0,0.636364
8,6,1,0.681818
8,6,2,0.727273
8,6,3,0.681818
8,6,4,0.636364
8,7,0,0.590909
8,7,1,0.636364
8,7,2,0.681818
8,7,3,0.636364
8,7,4,0.590909
8,8,0,0.545455
8,8,1,0.590909
8,8,2,0.636364
8,8,3,0.590909
8,8,4,0.545455
8,9,0,0.5
8,9,1,0.545455
8,9,2,0.590909
8,9,3,0.545455
8,9,4,0.5
8,10,0,0.454545
8,10,1,0.5
8,10,2,0.545455
8,10,3,0.5
8,10,4,0.454545
8,11,0,0.409091
8,11,1,0.454545
8,11,2,0.5
8,11,3,0.454545
8,11,4,0.409091
8,12,0,0.363636
8,12,1,0.409091
8,12,2,0.454545
8,12,3,0.409091
8,12,4,0.363636
8,13,0,0.318182
8,13,1,0.363636
8,13,2,0.409091
8,13,3,0.363636
8,13,4,0.318182
8,14,0,0.272727
8,14,1,0.318182
8,14,2,0.363636
8,14,3,0.318182
8,14,4,0.272727
9,0,0,0
9,0,1,0.909091
9,0,2,0.954545
9,0,3,0.909091
9,0,4,0
9,1,0,0.909091
9,1,1,0.954545
9,1,2,1
9,1,3,0.954545
9,1,4,0.909091
9,2,0,0.863636
9,2,1,0.909091
9,2,2,0.954545
9,2,3,0.909091
9,2,4,0.863636
9,3,0,0.818182
9,3,1,0.863636
9,3,2,0.909091
9,3,3,0.863636
9,3,4,0.818182
9,4,0,0.772727
9,4,1,0.818182
9,4,2,0.863636
9,4,3,0.818182
9,4,4,0.772727
9,5,0,0.727273
9,5,1,0.772727
9,5,2,0.818182
9,5,3,0.772727
9,5,4,0.727273
9,6,0,0.681818
9,6,1,0.727273
9,6,2,0.772727
9,6,3,0.727273
9,6,4,0.681818
9,7,0,0.636364
9,7,1,0.681818
9,7,2,0.727273
9,7,3,0.681818
9,7,4,0.636364
9,8,0,0.590909
9,8,1,0.636364
9,8,2,0.681818
9,8,3,0.636364
9,8,4,0.590909
9,9,0,0.545455
9,9,1,0.590909
9,9,2,0.636364
9,9,3,0.590909
9,9,4,0.545455
9,10,0,0.5
9,10,1,0.545455
9,10,2,0.590909
9,10,3,0.545455
9,10,4,0.5
9,11,0,0.454545
9,11,1,0.5
9,11,2,0.545455
9,11,3,0.5
9,11,4,0.454545
9,12,0,0.409091
9,12,1,0.454545
9,12,2,0.5
9,12,3,0.454545
9,12,4,0.409091
9,13,0,0.363636
9,13,1,0.409091
9,13,2,0.454545
9,13,3,0.409091
9,13,4,0.363636
