"minbound",shape,"unit"
-40,16,10
-120,15,10
0,5,10

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0.571429
0,2,2,0.831169
0,2,3,0.935065
0,2,4,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,2,0,0
1,2,1,0.61039
1,2,2,0.785714
1,2,3,0.909091
1,2,4,0
1,3,0,0
1,3,1,0.448052
1,3,2,0.837662
1,3,3,0.935065
1,3,4,0
1,4,0,0
1,4,1,0.707792
1,4,2,0.876623
1,4,3,0.948052
1,4,4,0
1,5,0,0
1,5,1,0.753247
1,5,2,0.902597
1,5,3,0.954545
1,5,4,0
1,6,0,0
1,6,1,0.753247
1,6,2,0.928571
1,6,3,0.987013
1,6,4,0
1,7,0,0
1,7,1,0.792208
1,7,2,0.941558
1,7,3,0.987013
1,7,4,0
1,8,0,0
1,8,1,0.805195
1,8,2,0.948052
1,8,3,0.987013
1,8,4,0
1,9,0,0
1,9,1,0.824675
1,9,2,0.954545
1,9,3,0.987013
1,9,4,0
1,10,0,0
1,10,1,0.772727
1,10,2,0.961039
1,10,3,0.987013
1,10,4,0
1,11,0,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,12,0,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,13,0,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,14,0,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,2,0,0
2,2,1,0.662338
2,2,2,0.766234
2,2,3,0.88961
2,2,4,0
2,3,0,0
2,3,1,0.616883
2,3,2,0.818182
2,3,3,0.922078
2,3,4,0
2,4,0,0
2,4,1,0.720779
2,4,2,0.863636
2,4,3,0.935065
2,4,4,0
2,5,0,0
2,5,1,0.746753
2,5,2,0.896104
2,5,3,0.954545
2,5,4,0
2,6,0,0
2,6,1,0.766234
2,6,2,0.915584
2,6,3,0.980519
2,6,4,0
2,7,0,0
2,7,1,0.785714
2,7,2,0.935065
2,7,3,0.980519
2,7,4,0
2,8,0,0
2,8,1,0.805195
2,8,2,0.941558
2,8,3,0.980519
2,8,4,0
2,9,0,0
2,9,1,0.824675
2,9,2,0.941558
2,9,3,0.980519
2,9,4,0
2,10,0,0
2,10,1,0.837662
2,10,2,0.954545
2,10,3,0.980519
2,10,4,0
2,11,0,0
2,11,1,0
2,11,2,0
2,11,3,0
2,11,4,0
2,12,0,0
2,12,1,0
2,12,2,0
2,12,3,0
2,12,4,0
2,13,0,0
2,13,1,0
2,13,2,0
2,13,3,0
2,13,4,0
2,14,0,0
2,14,1,0
2,14,2,0
2,14,3,0
2,14,4,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,1,0,0
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,0
3,2,0,0
3,2,1,0.649351
3,2,2,0.75974
3,2,3,0.883117
3,2,4,0
3,3,0,0
3,3,1,0.688312
3,3,2,0.805195
3,3,3,0.915584
3,3,4,0
3,4,0,0
3,4,1,0.733766
3,4,2,0.850649
3,4,3,0.928571
3,4,4,0
3,5,0,0
3,5,1,0.746753
3,5,2,0.883117
3,5,3,0.948052
3,5,4,0
3,6,0,0
3,6,1,0.779221
3,6,2,0.909091
3,6,3,0.974026
3,6,4,0
3,7,0,0
3,7,1,0.779221
3,7,2,0.928571
3,7,3,0.967532
3,7,4,0
3,8,0,0
3,8,1,0.805195
3,8,2,0.935065
3,8,3,0.974026
3,8,4,0
3,9,0,0
3,9,1,0.831169
3,9,2,0.935065
3,9,3,0.980519
3,9,4,0
3,10,0,0
3,10,1,0.824675
3,10,2,0.954545
3,10,3,0.974026
3,10,4,0
3,11,0,0
3,11,1,0
3,11,2,0
3,11,3,0
3,11,4,0
3,12,0,0
3,12,1,0
3,12,2,0
3,12,3,0
3,12,4,0
3,13,0,0
3,13,1,0
3,13,2,0
3,13,3,0
3,13,4,0
3,14,0,0
3,14,1,0
3,14,2,0
3,14,3,0
3,14,4,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,2,0,0
4,2,1,0.642857
4,2,2,0.766234
4,2,3,0.876623
4,2,4,0
4,3,0,0
4,3,1,0.675325
4,3,2,0.798701
4,3,3,0.915584
4,3,4,0
4,4,0,0
4,4,1,0.714286
4,4,2,0.837662
4,4,3,0.928571
4,4,4,0
4,5,0,0
4,5,1,0.753247
4,5,2,0.876623
4,5,3,0.941558
4,5,4,0
4,6,0,0
4,6,1,0.785714
4,6,2,0.896104
4,6,3,0.967532
4,6,4,0
4,7,0,0
4,7,1,0.792208
4,7,2,0.922078
4,7,3,0.967532
4,7,4,0
4,8,0,0
4,8,1,0.818182
4,8,2,0.928571
4,8,3,0.967532
4,8,4,0
4,9,0,0
4,9,1,0.831169
4,9,2,0.928571
4,9,3,0.967532
4,9,4,0
4,10,0,0
4,10,1,0.837662
4,10,2,0.954545
4,10,3,0.967532
4,10,4,0
4,11,0,0
4,11,1,0
4,11,2,0
4,11,3,0
4,11,4,0
4,12,0,0
4,12,1,0
4,12,2,0
4,12,3,0
4,12,4,0
4,13,0,0
4,13,1,0
4,13,2,0
4,13,3,0
4,13,4,0
4,14,0,0
4,14,1,0
4,14,2,0
4,14,3,0
4,14,4,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,1,0,0
5,1,1,0
5,1,2,0
5,1,3,0
5,1,4,0
5,2,0,0
5,2,1,0.642857
5,2,2,0.753247
5,2,3,0.876623
5,2,4,0
5,3,0,0
5,3,1,0.688312
5,3,2,0.792208
5,3,3,0.909091
5,3,4,0
5,4,0,0
5,4,1,0.720779
5,4,2,0.837662
5,4,3,0.922078
5,4,4,0
5,5,0,0
5,5,1,0.75974
5,5,2,0.876623
5,5,3,0.948052
5,5,4,0
5,6,0,0
5,6,1,0.785714
5,6,2,0.88961
5,6,3,0.967532
5,6,4,0
5,7,0,0
5,7,1,0.805195
5,7,2,0.915584
5,7,3,0.961039
5,7,4,0
5,8,0,0
5,8,1,0.811688
5,8,2,0.922078
5,8,3,0.961039
5,8,4,0
5,9,0,0
5,9,1,0.824675
5,9,2,0.935065
5,9,3,0.967532
5,9,4,0
5,10,0,0
5,10,1,0.831169
5,10,2,0.954545
5,10,3,0.967532
5,10,4,0
5,11,0,0
5,11,1,0
5,11,2,0
5,11,3,0
5,11,4,0
5,12,0,0
5,12,1,0
5,12,2,0
5,12,3,0
5,12,4,0
5,13,0,0
5,13,1,0
5,13,2,0
5,13,3,0
5,13,4,0
5,14,0,0
5,14,1,0
5,14,2,0
5,14,3,0
5,14,4,0
6,0,0,0
6,0,1,0
6,0,2,0
6,0,3,0
6,0,4,0
6,1,0,0
6,1,1,0
6,1,2,0
6,1,3,0
6,1,4,0
6,2,0,0
6,2,1,0.649351
6,2,2,0.746753
6,2,3,0.863636
6,2,4,0
6,3,0,0
6,3,1,0.681818
6,3,2,0.785714
6,3,3,0.915584
6,3,4,0
6,4,0,0
6,4,1,0.720779
6,4,2,0.831169
6,4,3,0.915584
6,4,4,0
6,5,0,0
6,5,1,0.75974
6,5,2,0.87013
6,5,3,0.941558
6,5,4,0
6,6,0,0
6,6,1,0.766234
6,6,2,0.88961
6,6,3,0.954545
6,6,4,0
6,7,0,0
6,7,1,0.805195
6,7,2,0.915584
6,7,3,0.961039
6,7,4,0
6,8,0,0
6,8,1,0.805195
6,8,2,0.922078
6,8,3,0.961039
6,8,4,0
6,9,0,0
6,9,1,0.824675
6,9,2,0.928571
6,9,3,0.961039
6,9,4,0
6,10,0,0
6,10,1,0.824675
6,10,2,0.948052
6,10,3,0.961039
6,10,4,0
6,11,0,0
6,11,1,0.824675
6,11,2,0.967532
6,11,3,0.967532
6,11,4,0
6,12,0,0
6,12,1,0.818182
6,12,2,0.967532
6,12,3,0.967532
6,12,4,0
6,13,0,0
6,13,1,0.805195
6,13,2,0.974026
6,13,3,0.987013
6,13,4,0
6,14,0,0
6,14,1,0.74026
6,14,2,0.974026
6,14,3,1
6,14,4,0
7,0,0,0
7,0,1,0
7,0,2,0
7,0,3,0
7,0,4,0
7,1,0,0
7,1,1,0
7,1,2,0
7,1,3,0
7,1,4,0
7,2,0,0
7,2,1,0.649351
7,2,2,0.74026
7,2,3,0.857143
7,2,4,0
7,3,0,0
7,3,1,0.675325
7,3,2,0.805195
7,3,3,0.909091
7,3,4,0
7,4,0,0
7,4,1,0.727273
7,4,2,0.831169
7,4,3,0.915584
7,4,4,0
7,5,0,0
7,5,1,0.746753
7,5,2,0.857143
7,5,3,0.935065
7,5,4,0
7,6,0,0
7,6,1,0.772727
7,6,2,0.88961
7,6,3,0.954545
7,6,4,0
7,7,0,0
7,7,1,0.805195
7,7,2,0.909091
7,7,3,0.961039
7,7,4,0
7,8,0,0
7,8,1,0.824675
7,8,2,0.922078
7,8,3,0.961039
7,8,4,0
7,9,0,0
7,9,1,0.811688
7,9,2,0.928571
7,9,3,0.961039
7,9,4,0
7,10,0,0
7,10,1,0.837662
7,10,2,0.948052
7,10,3,0.961039
7,10,4,0
7,11,0,0
7,11,1,0.837662
7,11,2,0.961039
7,11,3,0.961039
7,11,4,0
7,12,0,0
7,12,1,0.824675
7,12,2,0.961039
7,12,3,0.961039
7,12,4,0
7,13,0,0
7,13,1,0.811688
7,13,2,0.974026
7,13,3,0.987013
7,13,4,0
7,14,0,0
7,14,1,0.753247
7,14,2,0.961039
7,14,3,1
7,14,4,0
8,0,0,0
8,0,1,0
8,0,2,0
8,0,3,0
8,0,4,0
8,1,0,0
8,1,1,0.571429
8,1,2,0.688312
8,1,3,0.818182
8,1,4,0
8,2,0,0
8,2,1,0.649351
8,2,2,0.746753
8,2,3,0.850649
8,2,4,0
8,3,0,0
8,3,1,0.681818
8,3,2,0.785714
8,3,3,0.896104
8,3,4,0
8,4,0,0
8,4,1,0.714286
8,4,2,0.837662
8,4,3,0.915584
8,4,4,0
8,5,0,0
8,5,1,0.733766
8,5,2,0.857143
8,5,3,0.941558
8,5,4,0
8,6,0,0
8,6,1,0.75974
8,6,2,0.883117
8,6,3,0.948052
8,6,4,0
8,7,0,0
8,7,1,0.798701
8,7,2,0.915584
8,7,3,0.961039
8,7,4,0
8,8,0,0
8,8,1,0.811688
8,8,2,0.902597
8,8,3,0.954545
8,8,4,0
8,9,0,0
8,9,1,0.811688
8,9,2,0.909091
8,9,3,0.954545
8,9,4,0
8,10,0,0
8,10,1,0.844156
8,10,2,0.948052
8,10,3,0.961039
8,10,4,0
8,11,0,0
8,11,1,0.844156
8,11,2,0.961039
8,11,3,0.961039
8,11,4,0
8,12,0,0
8,12,1,0.837662
8,12,2,0.961039
8,12,3,0.961039
8,12,4,0
8,13,0,0
8,13,1,0.837662
8,13,2,0.967532
8,13,3,0.980519
8,13,4,0
8,14,0,0
8,14,1,0.818182
8,14,2,0.954545
8,14,3,0.993506
8,14,4,0
9,0,0,0
9,0,1,0
9,0,2,0
9,0,3,0
9,0,4,0
9,1,0,0
9,1,1,0.571429
9,1,2,0.688312
9,1,3,0.824675
9,1,4,0
9,2,0,0
9,2,1,0.636364
9,2,2,0.75974
9,2,3,0.863636
9,2,4,0
9,3,0,0
9,3,1,0.694805
9,3,2,0.785714
9,3,3,0.88961
9,3,4,0
9,4,0,0
9,4,1,0.720779
9,4,2,0.850649
9,4,3,0.915584
9,4,4,0
9,5,0,0
9,5,1,0.727273
9,5,2,0.857143
9,5,3,0.941558
9,5,4,0
9,6,0,0
9,6,1,0.772727
9,6,2,0.883117
9,6,3,0.948052
9,6,4,0
9,7,0,0
9,7,1,0.798701
9,7,2,0.896104
9,7,3,0.954545
9,7,4,0
9,8,0,0
9,8,1,0.792208
9,8,2,0.902597
9,8,3,0.954545
9,8,4,0
9,9,0,0
9,9,1,0.798701
9,9,2,0.909091
9,9,3,0.954545
9,9,4,0
9,10,0,0
9,10,1,0.850649
9,10,2,0.948052
9,10,3,0.954545
9,10,4,0
9,11,0,0
9,11,1,0.837662
9,11,2,0.961039
9,11,3,0.961039
9,11,4,0
9,12,0,0
9,12,1,0.831169
9,12,2,0.961039
9,12,3,0.961039
9,12,4,0
9,13,0,0
9,13,1,0.837662
9,13,2,0.961039
9,13,3,0.980519
9,13,4,0
9,14,0,0
9,14,1,0.844156
9,14,2,0.954545
9,14,3,0.993506
9,14,4,0
10,0,0,0
10,0,1,0
10,0,2,0
10,0,3,0
10,0,4,0
10,1,0,0
10,1,1,0.564935
10,1,2,0.694805
10,1,3,0.824675
10,1,4,0
10,2,0,0
10,2,1,0.636364
10,2,2,0.75974
10,2,3,0.863636
10,2,4,0
10,3,0,0
10,3,1,0.681818
10,3,2,0.792208
10,3,3,0.88961
10,3,4,0
10,4,0,0
10,4,1,0.707792
10,4,2,0.831169
10,4,3,0.896104
10,4,4,0
10,5,0,0
10,5,1,0.733766
10,5,2,0.850649
10,5,3,0.928571
10,5,4,0
10,6,0,0
10,6,1,0.772727
10,6,2,0.88961
10,6,3,0.941558
10,6,4,0
10,7,0,0
10,7,1,0.785714
10,7,2,0.88961
10,7,3,0.948052
10,7,4,0
10,8,0,0
10,8,1,0.785714
10,8,2,0.896104
10,8,3,0.948052
10,8,4,0
10,9,0,0
10,9,1,0.811688
10,9,2,0.909091
10,9,3,0.954545
10,9,4,0
10,10,0,0
10,10,1,0.831169
10,10,2,0.935065
10,10,3,0.954545
10,10,4,0
10,11,0,0
10,11,1,0.831169
10,11,2,0.948052
10,11,3,0.961039
10,11,4,0
10,12,0,0
10,12,1,0.824675
10,12,2,0.967532
10,12,3,0.974026
10,12,4,0
10,13,0,0
10,13,1,0.831169
10,13,2,0.954545
10,13,3,0.980519
10,13,4,0
10,14,0,0
10,14,1,0.831169
10,14,2,0.954545
10,14,3,0.993506
